2024-12-03 17:55:17,599|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-10 05:11:49,304|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-10 05:12:53,826|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-10 05:24:52,504|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-10 05:27:35,172|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-10 05:32:49,325|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-10 05:35:43,029|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-10 05:39:22,649|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-10 05:52:10,245|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-10 05:54:20,499|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-12 01:26:32,610|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-12 02:56:48,178|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-12 03:15:03,476|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-14 00:17:49,877|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-14 00:19:12,937|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-14 00:22:08,578|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-14 00:23:48,839|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-14 00:37:00,812|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-14 01:07:02,158|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-14 01:15:04,692|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-14 02:09:29,921|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2025-01-14 02:11:51,008|WARNING:[animation.py:1037                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
